#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,GMD ,,,,,,
1,GMD high voltage,,,,,,
,,EM2K0:XGMD:SHV:01:Crate:PowerOn,High voltage crate powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:isSafetyLoopGood,Safety loop ok,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C0:isOn,Electron mesh powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C0:VoltageMeasure,Electron mesh voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C0:VoltageMeasureDiff,Electron mesh voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C1:isOn,Electron FC powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C1:VoltageMeasure,Electron FC voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C1:VoltageMeasureDiff,Electron FC voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C14:isOn,Ion mesh powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C14:VoltageMeasure,Ion mesh voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C14:VoltageMeasureDiff,Ion mesh voltage diff from set value,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C15:isOn,Electron multiplier powered on,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C15:VoltageMeasure,Electron multiplier voltage,FALSE,0,,
,,EM2K0:XGMD:SHV:01:M0:C15:VoltageMeasureDiff,Electron multiplier voltage diff from set value,FALSE,0,,
1,GMD spinning rotor gauge,,,,,,
,,EM1K0:GMD:GSR:1:GetRotSpeed,Rotation speed,FALSE,0,,
,,EM1K0:GMD:GSR:1:Calib:Pressure:Calc,Pressure,FALSE,0,,
,,EM1K0:GMD:GSR:1:GetMeasureTime,Measurement Time,FALSE,0,,
,,EM1K0:GMD:GSR:1:Calib:AccomFactor,Accomodation factor,FALSE,0,,
,,EM1K0:GMD:GSR:1:Calib:BallDensity,Ball Density,FALSE,0,,
,,EM1K0:GMD:GSR:1:Calib:BallDiameter,Ball Diameter,FALSE,0,,
,,EM1K0:GMD:GSR:1:GetDampLvlAB,Damping level,FALSE,0,,
,,EM1K0:GMD:GSR:1:CheckRotPH,Restart too often alarm,FALSE,0,,
,,EM1K0:GMD:GSR:1:GetSpeedCtlMode,Speed Control mode,FALSE,0,,
,,EM1K0:GMD:GSR:1:GetGasTemperature,Temperature,FALSE,0,,
1,GMD Keithley,,,,,,
,,EM1K0:GMD:ETM:01:GetIntCycles,Integration Time,FALSE,0,,
,,EM1K0:GMD:ETM:01:SelectCurrentRange,Current range,FALSE,0,,
,,EM1K0:GMD:ETM:01:Reading,Current is changing,FALSE,0,,
,,EM1K0:GMD:ETM:01:GetAvgCount,Reading to average,FALSE,0,,
,,EM1K0:GMD:ETM:01:AvgEnable,Averaging on,FALSE,0,,
,,EM1K0:GMD:ETM:01:PutDamping,Damping on,FALSE,0,,
,,EM1K0:GMD:ETM:01:PutAutoRange,Autorange off,FALSE,0,,
,,EM1K0:GMD:ETM:01:PutFunction,Measurement function,FALSE,0,,
1,GMD chamber temperature,,,,,,
,,EM1K0:GMD:RTD:1:TEMP_RBV,Temperature,FALSE,0,,
1,GMD Machine input data,,,,,,
,,EM1K0:GMD:HPS:BeamRate,Beam rate,FALSE,0,,
1,GMD ATCA system,,,,,,
2,GMD ATCA digitizer,,,,,,
,,EM1K0:GMD:HPS:NumSamples,Number of samples for pulse,FALSE,0,,
,,EM1K0:GMD:HPS:AvgPhotonsPerPulse_1MIN_MIN,Peak of pulse,FALSE,0,,
,,EM1K0:GMD:HPS:RunningAvgDisCycleNum,Background noise disable,FALSE,0,,
,,EM1K0:GMD:HPS:PulseAutoScale,Auto-calculation activation,FALSE,0,,
2,GMD timing system,,,,,,
,,TPR:FEES:GD01:0:RXLNKSTATUS,Timing status,FALSE,0,,
,,EM1K0:GMD:HPS:TCRB1:OUTPUTCONFIG,Timing source,FALSE,0,,
,,TPR:FEES:GD01:0:TRG01_SOURCE,Calculation trigger source,FALSE,0,,
,,TPR:FEES:GD01:0:TRG01_SYS0_TCTL,Calculation trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG01_SYS0_TDES,Calculation trigger NC delay,FALSE,0,,
,,TPR:FEES:GD01:0:TRG01_SYS2_TCTL,Calculation trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG01_SYS2_TDES,Calculation trigger SC delay,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_SYS0_TCTL,Calculation channel NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_EVCODE,Calculation channel NC event code,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_RATE,Calculation event rate,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_SYS2_TCTL,Calculation channel SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_DESTMODE,Calculation channel SC destination mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_DESTMASK,Calculation channel SC destination mask,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_RATEMODE,Calculation channel SC rate mode,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_SEQNUM,Calculation channel sequence engine,FALSE,0,,
,,TPR:FEES:GD01:0:CH01_SEQBIT,Calculation channel sequence bit,FALSE,0,,
,,TPR:FEES:GD01:0:TRG05_SOURCE,Full rate calc trigger source,FALSE,0,,
,,TPR:FEES:GD01:0:TRG05_SYS0_TCTL,Full rate calc trigger NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG05_SYS0_TDES,Full rate calc trigger NC delay,FALSE,0,,
,,TPR:FEES:GD01:0:TRG05_SYS2_TCTL,Full rate calc trigger SC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:TRG05_SYS2_TDES,Full rate calc trigger SC delay,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_SYS0_TCTL,Full rate calc channel NC enabled,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_EVCODE,Full rate calc channel NC event code,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_SYS2_TCTL,Full rate calc channel SC enable,FALSE,0,,
,,TPR:FEES:GD01:0:CH05_DESTMODE,Full rate calc channel SC destination mode,FALSE,0,,
