#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,FEE DEVICES,,,,,,
1,MR1K1:BEND,,,,,,
,,MR1K1:BEND:RTD:US:1_RBV,TEMPERATURE,,,,
,,MR1K1:BEND:RTD:DS:1_RBV,TEMPERATURE,,,,
,,MR1K1:BEND:FWM:1_RBV,FLOW SENSOR 1,,,,
,,MR1K1:BEND:FWM:2_RBV,FLOW SENSOR 2,,,,
,,MR1K1:BEND:PRSM:1_RBV,COOL PRESSURE,,,,
,,MR1K1:BEND:PIP:1:PRESS_RBV,MR1K1 ION PUMP,,,,
,,MR1K1:BEND:PIP:1:STATE_RBV,MR1K1 ION PUMP STATE,,,,
1,IM1K1:PPM,,,,,,
,,IM1K1:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM1K1:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM1K1:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
1,SP1K1:MONO,,,,,,
,,SP1K1:MONO:FWM:1_RBV,FLOW SENSOR 1,,,,
,,SP1K1:MONO:FWM:2_RBV,FLOW SENSOR 2,,,,
,,SP1K1:MONO:PRSM:1_RBV,COOL PRESSURE,,,,
,,SP1K1:MONO:RTD:01:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:02:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:03:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:04:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:05:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:06:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:07:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:RTD:08:TEMP_RBV,TEMPERATURE,,,,
,,SP1K1:MONO:PIP:1:PRESS_RBV,SP1K1 ION PUMP 1,,,,
,,SP1K1:MONO:PIP:1:STATE_RBV,SP1K1 ION PUMP 1 STATE,,,,
,,SP1K1:MONO:PIP:2:PRESS_RBV,SP1K1 ION PUMP 2,,,,
,,SP1K1:MONO:PIP:2:STATE_RBV,SP1K1 ION PUMP 2 STATE,,,,
1,IM2K1:PPM,,,,,,
,,IM2K1:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM2K1:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM2K1:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
1,MR1K2:SWITCH,,,,,,
,,MR1K2:SWITCH:FWM:1_RBV,FLOW SENSOR 1,,,,
,,MR1K2:SWITCH:FWM:2_RBV,FLOW SENSOR 2,,,,
,,MR1K2:SWITCH:PRSM:1_RBV,COOL PRESSURE,,,,
,,MR1K2:SWITCH:PIP:1:PRESS_RBV,MR1K2 ION PUMP,,,,
,,MR1K2:SWITCH:PIP:1:STATE_RBV,MR1K2 ION PUMP STATE,,,,
0,HUTCH 1.1 DEVICES,,,,,,
1,SL1K2:EXIT,,,,,,
,,SL1K2:EXIT:RTD:YAG:TEMP_RBV,YAG THERMOCOUPLE,,,,
,,SL1K2:EXIT:RTD:CRYSTAL_TOP:TEMP_RBV,UPPER CRYSTAL THERMOCOUPLE,,,,
,,SL1K2:EXIT:RTD:CRYSTAL_BOTTOM:TEMP_RBV,LOWER CRYSTAL THERMOCOUPLE,,,,
,,SL1K2:EXIT:RTD:HeatSync:TEMP_RBV,HEAT SINK THERMOCOUPLE,,,,
0,HUTCH 2.2 DEVICES,,,,,,
1,IM1K2:PPM,,,,,,
,,IM1K2:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM1K2:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM1K2:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
1,MR2K2:FLAT,,,,,,
,,MR2K2:FLAT:PIP:1:PRESS_RBV,MR2K2 ION PUMP,,,,
,,MR2K2:FLAT:PIP:1:STATE_RBV,MR2K2 ION PUMP STATE,,,,
1,IM2K2:PPM,,,,,,
,,IM2K2:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM2K2:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM2K2:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
,,IM2K2:PPM:PIP:1:PRESS_RBV,IM2K2 ION PUMP,,,,
,,IM2K2:PPM:PIP:1:STATE_RBV,IM2K2 ION PUMP STATE,,,,
1,MR3K2:KBH,,,,,,
,,MR3K2:KBH:RTD:BEND:US:1_RBV,TEMPERATURE,,,,
,,MR3K2:KBH:RTD:BEND:DS:1_RBV,TEMPERATURE,,,,
,,MR3K2:KBH:PIP:1:PRESS_RBV,MR3K2 ION PUMP,,,,
,,MR3K2:KBH:PIP:1:STATE_RBV,MR3K2 ION PUMP STATE,,,,
1,IM3K2:PPM,,,,,,
,,IM3K2:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM3K2:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM3K2:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
,,IM3K2:PPM:PIP:1:PRESS_RBV,IM3K2 ION PUMP,,,,
,,IM3K2:PPM:PIP:1:STATE_RBV,IM3K2 ION PUMP STATE,,,,
1,MR4K2:KBV,,,,,,
,,MR4K2:KBV:RTD:BEND:US:1_RBV,TEMPERATURE,,,,
