#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,GMD ,,,,,,
1,GMD high voltage,,,,,,
,,EM2K0:XGMD:SHV:01:M0:C0:isOn,Electron mesh powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C0:VoltageMeasure,Electron mesh voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C1:isOn,Electron FC powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C1:VoltageMeasure,Electron FC voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C14:isOn,Ion mesh powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C14:VoltageMeasure,Ion mesh voltage,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C15:isOn,Electron multiplier powered on,TRUE,0,,
,,EM2K0:XGMD:SHV:01:M0:C15:VoltageMeasure,Electron multiplier voltage,TRUE,0,,
1,GMD spinning rotor gauge,,,,,,
,,EM1K0:GMD:GSR:1:GetRotSpeed,Rotation speed,TRUE,0,,
,,EM1K0:GMD:GSR:1:Calib:Pressure:Calc,Pressure,TRUE,0,,
1,GMD Keithley,,,,,,
,,EM1K0:GMD:ETM:01:SelectCurrentRange,Current range,TRUE,0,,
,,EM1K0:GMD:ETM:01:Reading,Current is changing,TRUE,0,,
,,EM1K0:GMD:ETM:01:GetAvgCount,Reading to average,TRUE,0,,
,,EM1K0:GMD:ETM:01:AvgEnable,Averaging on,TRUE,0,,
,,EM1K0:GMD:ETM:01:PutDamping,Damping on,TRUE,0,,
,,EM1K0:GMD:ETM:01:PutAutoRange,Autorange off,TRUE,0,,
,,EM1K0:GMD:ETM:01:PutFunction,Measurement function,TRUE,0,,
1,GMD chamber temperature,,,,,,
,,EM1K0:GMD:RTD:1:TEMP_RBV,Temperature,TRUE,0,,
1,GMD Machine input data,,,,,,
,,EVNT:SYS0:1:NC_SOFTRATE,Beam rate,TRUE,0,,
1,GMD ATCA system,,,,,,
2,GMD ATCA digitizer,,,,,,
