#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,LCLS DEVICES,,,,,,
1,MEC,,,,,,
,,FMS:MEC:CEIL:TEMP:SVAL_RBV,MEC Amb Air Temp Ceiling,,,,
2,Racks,,,,,,
,,FMS:MEC:R64A:HMD:SVAL_RBV,Rack Humidity,,,,
,,FMS:MEC:R64B:HMD:SVAL_RBV,Rack Humidity,,,,
,,FMS:MEC:R60:HMD:SVAL_RBV,Rack Humidity,,,,
,,FMS:MEC:R61:HMD:SVAL_RBV,Rack Humidity,,,,
,,FMS:MEC:R62:HMD:SVAL_RBV,Rack Humidity,,,,
,,FMS:MEC:R64A:TEMP:SVAL_RBV,Rack Temperature,,,,
,,FMS:MEC:R64B:TEMP:SVAL_RBV,Rack Temperature,,,,
,,FMS:MEC:R60:TEMP:SVAL_RBV,Rack Temperature,,,,
,,FMS:MEC:R61:TEMP:SVAL_RBV,Rack Temperature,,,,
,,FMS:MEC:R62:TEMP:SVAL_RBV,Rack Temperature,,,,
2,Floor,,,,,,
,,FMS:MEC:R64B:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:R64A:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:SE:PCW:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:LOT:3:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:LOT:1:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:LAS:RRK:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:TC:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:S67A:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
,,FMS:MEC:R61:FLR:WLD:SEVR_RBV,Fluid Leak Detection,,,,
2,PCW,,,,,,
,,FMS:MEC:S67A:PCW:TEMP_RBV,PCW Temperature,,,,
,,FMS:MEC:TC:PCW:TEMP_RBV,PCW Temperature,,,,
,,FMS:MEC:S64A:PCW:TEMP_RBV,PCW Temperature,,,,
,,FMS:MEC:LAS:RRK:PCW:TEMP_RBV,PCW Temperature,,,,
,,FMS:MEC:SE:PCW:SUP:FWM:VAL_RBV,PCW Flow Supply,,,,
,,FMS:MEC:SE:PCW:RET:FWM:VAL_RBV,PCW Flow Return,,,,
2,Laser,,,,,,
,,FMS:MEC:LAS:GLS:INT:TEMP:SVAL_RBV,Glass Rod Int Temperature,,,,
,,FMS:MEC:YFE:EXT:TEMP:SVAL_RBV,YFE EXT Temperature,,,,
,,FMS:MEC:YFE:INT:TEMP:SVAL_RBV,YFE INT Temperature,,,,
